Chain-1	0	1000	69.0364618301	208.112	0.0	-207.9035	12824	12834	-339.2392
Chain-1	0	1000	71.8413710594	90.006	0.001	-88.8978	12824	12835	-339.2392
Chain-1	0	1000	72.200357914	208.163	0.0	-208.1628	12824	12904	-339.2392
Chain-1	0	1000	74.395637989	169.391	0.001	-116.9118	12824	12888	-339.2392
Chain-1	0	1000	76.3015489578	123.536	0.001	-90.487	12824	12860	-339.2392
Chain-1	0	1000	72.3376700878	122.007	0.0	-121.9961	12824	12890	-339.2392
Chain-1	0	1000	84.6209280491	194.093	0.001	-168.4988	12824	12852	-339.2392
Chain-1	0	1000	84.3006808758	190.333	0.001	-116.9049	12824	12854	-339.2392
Chain-1	0	1000	80.7262589931	208.288	0.0	-207.9477	12824	12824	-339.2392
Chain-1	0	1000	91.8020029068	198.744	0.001	-89.0827	12824	12850	-339.2392
Chain-1	0	1000	92.6200580597	209.024	0.0	-207.9477	12824	12828	-339.2392
Chain-1	0	1000	93.4453840256	208.195	0.0	-207.9477	12824	12842	-339.2392
Chain-1	0	1000	86.6200780869	216.05	0.0	-208.1628	12824	12865	-339.2392
Chain-1	0	1000	94.7639989853	219.674	0.0	-207.9477	12824	12851	-339.2392
Chain-1	0	2000	133.091821909	190.938	0.0	-97.8549	12824	12922	-339.2392
Chain-1	0	2000	133.983817101	89.428	0.001	-88.8631	12824	12844	-339.2392
Chain-1	0	2000	139.391036987	208.112	0.0	-207.9035	12824	12848	-339.2392
Chain-1	0	2000	141.842588902	106.33	0.002	-48.4879	12824	12893	-339.2392
Chain-1	0	1000	92.639690876	199.531	0.001	-92.3743	12824	12836	-339.2392
Chain-1	0	2000	141.464173079	122.007	0.0	-121.9961	12824	12951	-339.2392
Chain-1	0	2000	148.187443972	181.535	0.001	-168.3165	12824	12873	-339.2392
Chain-1	0	2000	150.072971821	102.596	0.001	-88.8504	12824	12869	-339.2392
Chain-1	0	2000	147.904062986	167.172	0.001	-116.9049	12824	12876	-339.2392
Chain-1	0	2000	145.106664896	208.242	0.0	-207.9159	12824	12840	-339.2392
Chain-1	0	2000	161.654962063	141.373	0.002	-88.8961	12824	12859	-339.2392
Chain-1	0	2000	163.82344389	161.531	0.001	-91.9863	12824	12835	-339.2392
Chain-1	0	2000	159.971332073	208.179	0.0	-207.9477	12824	12880	-339.2392
Chain-1	0	2000	166.282474995	186.087	0.001	-116.9118	12824	12860	-339.2392
Chain-1	0	3000	188.205685854	190.938	0.0	-97.8549	12824	12931	-339.2392
Chain-1	0	2000	170.930881023	146.123	0.001	-88.9041	12824	12875	-339.2392
Chain-1	0	3000	199.878690004	89.257	0.002	-88.8497	12824	12857	-339.2392
Chain-1	0	2000	151.128871918	143.73	0.001	-90.3451	12824	12847	-339.2392
