"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg06"	"L2"	11	1	TRUE	19	22	0.863636363636364	NA	NA	NA
"hg06"	"L2"	12	1	TRUE	18	20	0.9	NA	NA	NA
"hg06"	"L2"	12	2	FALSE	3	20	0.15	NA	NA	NA
"hg06"	"L2"	12	3	TRUE	19	20	0.95	NA	NA	NA
"hg06"	"L2"	12	4	FALSE	4	21	0.190476190476190	NA	NA	NA
"hg06"	"L2"	13	1	TRUE	20	21	0.952380952380952	NA	NA	NA
"hg06"	"L2"	13	2	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	13	3	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	13	4	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	14	1	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	14	2	FALSE	0	21	0	NA	NA	NA
"hg06"	"L2"	14	3	TRUE	20	21	0.952380952380952	NA	NA	NA
"hg06"	"L2"	15	1	FALSE	0	21	0	NA	NA	NA
"hg06"	"L2"	15	2	FALSE	4	21	0.190476190476190	NA	NA	NA
"hg06"	"L2"	16	1	FALSE	0	21	0	NA	NA	NA
"hg06"	"L2"	16	2	FALSE	0	21	0	NA	NA	NA
"hg06"	"L2"	16	3	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	17	1	FALSE	2	21	0.0952380952380952	NA	NA	NA
"hg06"	"L2"	17	2	TRUE	17	20	0.85	NA	NA	NA
"hg06"	"L2"	17	3	TRUE	19	20	0.95	NA	NA	NA
"hg06"	"L2"	17	4	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	17	5	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	18	1	TRUE	20	21	0.952380952380952	NA	NA	NA
"hg06"	"L2"	18	2	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	18	3	FALSE	2	21	0.0952380952380952	NA	NA	NA
